Total path distance: 2653775.73 meters

Vertex Coordinates (Pixel, Global):
Pixel: (167, 787) -> Global: (67.437050, 22.268828)
Pixel: (166, 786) -> Global: (67.415651, 22.281117)
Pixel: (165, 785) -> Global: (67.394253, 22.293407)
Pixel: (164, 785) -> Global: (67.394253, 22.305697)
Pixel: (163, 785) -> Global: (67.394253, 22.317987)
Pixel: (162, 784) -> Global: (67.372854, 22.330277)
Pixel: (161, 783) -> Global: (67.351455, 22.342567)
Pixel: (160, 783) -> Global: (67.351455, 22.354857)
Pixel: (159, 783) -> Global: (67.351455, 22.367147)
Pixel: (158, 783) -> Global: (67.351455, 22.379437)
Pixel: (157, 783) -> Global: (67.351455, 22.391727)
Pixel: (156, 783) -> Global: (67.351455, 22.404017)
Pixel: (155, 782) -> Global: (67.330056, 22.416307)
Pixel: (154, 781) -> Global: (67.308657, 22.428597)
Pixel: (153, 780) -> Global: (67.287258, 22.440886)
Pixel: (152, 779) -> Global: (67.265860, 22.453176)
Pixel: (151, 778) -> Global: (67.244461, 22.465466)
Pixel: (150, 777) -> Global: (67.223062, 22.477756)
Pixel: (149, 776) -> Global: (67.201663, 22.490046)
Pixel: (148, 775) -> Global: (67.180264, 22.502336)
Pixel: (147, 774) -> Global: (67.158865, 22.514626)
Pixel: (146, 773) -> Global: (67.137467, 22.526916)
Pixel: (145, 772) -> Global: (67.116068, 22.539206)
Pixel: (144, 771) -> Global: (67.094669, 22.551496)
Pixel: (143, 770) -> Global: (67.073270, 22.563786)
Pixel: (142, 769) -> Global: (67.051871, 22.576076)
Pixel: (141, 768) -> Global: (67.030472, 22.588366)
Pixel: (140, 767) -> Global: (67.009074, 22.600656)
Pixel: (139, 766) -> Global: (66.987675, 22.612945)
Pixel: (138, 765) -> Global: (66.966276, 22.625235)
Pixel: (137, 764) -> Global: (66.944877, 22.637525)
